id,equipment,gifUrl,name,target,bodyPart,calories 12 reps (cals)
193,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0388.gif,dumbbell seated alternate press,delts,shoulder,5
194,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3546.gif,dumbbell seated alternate shoulder,delts,shoulder,5
195,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2317.gif,dumbbell seated bent arm lateral raise,delts,shoulder,6
196,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0392.gif,dumbbell seated front raise,delts,shoulder,6
197,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0396.gif,dumbbell seated lateral raise,delts,shoulder,6
198,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0395.gif,dumbbell seated lateral raise v. 2,delts,shoulder,5
199,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0405.gif,dumbbell seated shoulder press,delts,shoulder,5
200,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0404.gif,dumbbell seated shoulder press (parallel grip),delts,shoulder,6
201,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3548.gif,dumbbell single arm overhead carry,delts,shoulder,6
202,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0414.gif,dumbbell standing alternate overhead press,delts,shoulder,5
203,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0415.gif,dumbbell standing alternate raise,delts,shoulder,6
204,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2143.gif,dumbbell standing around world,delts,shoulder,5
205,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0419.gif,dumbbell standing front raise above head,delts,shoulder,6
206,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0424.gif,dumbbell standing one arm palm in press,delts,shoulder,5
207,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0426.gif,dumbbell standing overhead press,delts,shoulder,6
208,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0427.gif,dumbbell standing palms in press,delts,shoulder,5
209,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0437.gif,dumbbell upright row,delts,shoulder,6
210,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1765.gif,dumbbell upright row (back pov),delts,shoulder,5
211,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0864.gif,dumbbell upright shoulder external rotation,delts,shoulder,6
212,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0438.gif,dumbbell w-press,delts,shoulder,6
213,barbell,http://d205bpvrqc9yn1.cloudfront.net/0079.gif,barbell revers wrist curl v. 2,arms muscle,arms,5
